OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
17020201,2/2/2017,11:24:00,NULL,NULL,9999F,NULL,Closed/Cleared,NULL,ONCAM,Z3,Bunger-Henry Building   86  Z3,778,NULL,"Atlantic Drive, NW",33.77564885,-84.3982697,1
17020237,2/7/2017,17:30:00,2/7/2017,17:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Howey Physics,800,NULL,Atlantic Drive NW,NULL,NULL,1
17020260,2/9/2017,18:07:00,2/9/2017,18:10:00,2305,Larceny � Articles from Vehicle,Inactive,NULL,ONCAM,Z1,Research Administration,505,NULL,Tenth Street NW,33.78167605,-84.40393633,1
17020265,2/9/2017,11:45:00,2/9/2017,12:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCAM,OFFCAM,NULL,144,NULL,Ponce Deleon Avenue NW,NULL,NULL,1
17010010,1/4/2017,14:51:00,1/4/2017,15:24:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Student Health Center,740,NULL,Ferst Drive NW,NULL,NULL,1
17010057,1/12/2017,17:00:00,1/12/2017,18:30:00,2308,Larceny � From Building,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Hinman Research Building,723,NULL,"Cherry Street, NW",33.77467083,-84.39511476,1
17010077,1/13/2017,22:00:00,1/13/2017,22:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,NULL,NULL,NULL,NULL,NULL,NULL,1
17010171,1/28/2017,2:35:00,1/28/2017,2:55:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z4,Freeman Residence Hall,835,NULL,McMillan Street NW,NULL,NULL,1
17020189,2/1/2017,3:00:00,2/1/2017,5:30:00,2204,Burglary � No Forced Entry � Residence,Inactive,NULL,NONCAM,Z2,Delta Sigma Phi Fraternity,165,NULL,"Fourth Street, NW",33.77584759,-84.39252817,1
17020193,1/31/2017,14:10:00,2/1/2017,17:47:00,2308,Larceny � From Building,Inactive,NULL,ONCAM,Z2,Clough Building,266,NULL,"Fourth Street, NW",33.77431732,-84.39572383,1
17020196,2/1/2017,22:33:00,2/1/2017,22:48:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Smith Residence Hall,630,NULL,"Williams Street, NW",33.77170733,-84.39125155,1
17020246,2/8/2017,15:56:00,2/9/2017,12:50:00,9999,Non-Crime (not reported to state),Further Investigation,NULL,ONCAM,Z2,Barnes and Noble Bookstore 172  Z2,48,NULL,"Fifth Street, NW",33.77668,-84.38863,1
17020269,2/10/2017,23:06:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,Z1,"Fourteenth Street, NW @ State Street, NW",NULL,NULL,NULL,NULL,NULL,1
17020310,2/17/2017,8:03:00,2/17/2017,8:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Student Center   104   Z3,351,NULL,Ferst Drive NW,33.77413608,-84.39881802,1
17020312,2/17/2017,1:00:00,2/17/2017,10:50:00,2308,Larceny � From Building,Inactive,NULL,NONCAM,Z2,Theta XI Fraternity   329A   Z2,777,NULL,Techwood Drive NW,33.7758785,-84.3916619,1
17020373,2/24/2017,7:31:00,2/24/2017,8:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments  191  Z2,120,NULL,North Avenue NW,33.77011984,-84.39135352,1
